state,year,income
Johor,2019,6386
Johor,2022,6826
Johor,2024,7627
Kedah,2019,4298
Kedah,2022,4368
Kedah,2024,4866
Kelantan,2019,3532
Kelantan,2022,3586
Kelantan,2024,4043
Melaka,2019,6028
Melaka,2022,6161
Melaka,2024,6849
Negeri Sembilan,2019,4977
Negeri Sembilan,2022,5179
Negeri Sembilan,2024,5543
Pahang,2019,4406
Pahang,2022,4704
Pahang,2024,4947
Perak,2019,4243
Perak,2022,4460
Perak,2024,4645
Perlis,2019,4544
Perlis,2022,4695
Perlis,2024,4923
Pulau Pinang,2019,6130
Pulau Pinang,2022,6457
Pulau Pinang,2024,7327
Sabah,2019,4186
Sabah,2022,4535
Sabah,2024,4852
Sarawak,2019,4498
Sarawak,2022,4934
Sarawak,2024,5454
Selangor,2019,8141
Selangor,2022,9902
Selangor,2024,10676
Terengganu,2019,5525
Terengganu,2022,5834
Terengganu,2024,6592
W.P. Kuala Lumpur,2019,10497
W.P. Kuala Lumpur,2022,10164
W.P. Kuala Lumpur,2024,10742
W.P. Labuan,2019,6699
W.P. Labuan,2022,6860
W.P. Labuan,2024,7339
W.P. Putrajaya,2019,9896
W.P. Putrajaya,2022,9993
W.P. Putrajaya,2024,10754
